StartDate,EndDate,Progress,Duration (in seconds),Finished,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Text / Graphic,Q1,Q2,Q3,Q4,Q5,Q6_15,Q6_16,Q6_17,Q6_18,Q6_19,Q7_0_GROUP,Q7_1_GROUP,Q7_2_GROUP,Q7_0_1_RANK,Q7_0_2_RANK,Q7_0_3_RANK,Q7_0_4_RANK,Q7_0_5_RANK,Q7_0_6_RANK,Q7_0_7_RANK,Q7_0_8_RANK,Q7_0_9_RANK,Q7_0_10_RANK,Q7_0_11_RANK,Q7_0_12_RANK,Q7_0_13_RANK,Q7_0_14_RANK,Q7_1_1_RANK,Q7_1_2_RANK,Q7_1_3_RANK,Q7_1_4_RANK,Q7_1_5_RANK,Q7_1_6_RANK,Q7_1_7_RANK,Q7_1_8_RANK,Q7_1_9_RANK,Q7_1_10_RANK,Q7_1_11_RANK,Q7_1_12_RANK,Q7_1_13_RANK,Q7_1_14_RANK,Q7_2_1_RANK,Q7_2_2_RANK,Q7_2_3_RANK,Q7_2_4_RANK,Q7_2_5_RANK,Q7_2_6_RANK,Q7_2_7_RANK,Q7_2_8_RANK,Q7_2_9_RANK,Q7_2_10_RANK,Q7_2_11_RANK,Q7_2_12_RANK,Q7_2_13_RANK,Q7_2_14_RANK,Q8,Q9,Q10,Q11,Q12,Q12_1_TEXT,Q13,Q14,Q15,Q15_6_TEXT,Q16,Q17,Q18,Q18_24_TEXT,Q19,Q20
Start Date,End Date,Progress,Duration (in seconds),Finished,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Text / Graphic introduction,How frequently do you travel by airplane?,Have you ever experienced discrimination in air travel? (Select all that apply.),Have you ever filed a complaint as result of discrimination you experienced in your air travel? (Select all that apply),"Have you ever received any monetary award, travel voucher, or other compensation as a result of any discrimination complaint you filed against an airline or government agency?",Do you visibly represent your religious identity in any of the following ways?,How would you rate your air travel experience compared to other travelers? - Check-In,How would you rate your air travel experience compared to other travelers? - Bag Drop Off,How would you rate your air travel experience compared to other travelers? - Security Line,How would you rate your air travel experience compared to other travelers? - Boarding Airplane,How would you rate your air travel experience compared to other travelers? - Baggage Claim,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Groups - Airline Prefer to Travel,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Groups - Airline To Avoid,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Groups - Airline Not Flown,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline Prefer to Travel - Alaska Airlines - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline Prefer to Travel - Allegiant Air - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline Prefer to Travel - American Airlines - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline Prefer to Travel - Avelo Airlines - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline Prefer to Travel - Breeze Airways - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline Prefer to Travel - Delta Air Lines - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline Prefer to Travel - Eastern Airlines - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline Prefer to Travel - Frontier Airlines - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline Prefer to Travel - Hawaiian Airlines - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline Prefer to Travel - JetBlue - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline Prefer to Travel - Southwest Airlines - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline Prefer to Travel - Spirit Airlines - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline Prefer to Travel - Sun Country Airlines - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline Prefer to Travel - United Airlines - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline To Avoid - Alaska Airlines - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline To Avoid - Allegiant Air - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline To Avoid - American Airlines - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline To Avoid - Avelo Airlines - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline To Avoid - Breeze Airways - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline To Avoid - Delta Air Lines - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline To Avoid - Eastern Airlines - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline To Avoid - Frontier Airlines - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline To Avoid - Hawaiian Airlines - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline To Avoid - JetBlue - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline To Avoid - Southwest Airlines - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline To Avoid - Spirit Airlines - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline To Avoid - Sun Country Airlines - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline To Avoid - United Airlines - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline Not Flown - Alaska Airlines - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline Not Flown - Allegiant Air - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline Not Flown - American Airlines - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline Not Flown - Avelo Airlines - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline Not Flown - Breeze Airways - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline Not Flown - Delta Air Lines - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline Not Flown - Eastern Airlines - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline Not Flown - Frontier Airlines - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline Not Flown - Hawaiian Airlines - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline Not Flown - JetBlue - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline Not Flown - Southwest Airlines - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline Not Flown - Spirit Airlines - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline Not Flown - Sun Country Airlines - Rank,Please select your preference to airlines. Drag the name of the airline into the appropriate box. - Ranks - Airline Not Flown - United Airlines - Rank,Have you ever been denied entry to an airplane based on racial profiling?,Have you ever avoided air travel to avoid racial profiling?,Have you ever been asked to deplane from an airplane based on racial profiling?,Have you ever been detained at the airport?,"Have you developed or adopted a strategy to avoid being racially profiled? If so, what strategy or strategies? - Selected Choice","Have you developed or adopted a strategy to avoid being racially profiled? If so, what strategy or strategies? - Yes - Text",Do you have an ethnic- or foreign-sounding name?,How old are you?,To which gender identity do you most identify? - Selected Choice,To which gender identity do you most identify? - Not Listed - Text,Why did you choose to take the question tour?,Did you find this explanation useful?,The question tour has helped me learn how to configure my own questions in Qualtrics. - Selected Choice,The question tour has helped me learn how to configure my own questions in Qualtrics. - Other - Text,Do you suffer from any chronic illness(es)?,(Optional) Please share any travel experiences you have endured during air travel at any stage in the journey that may be of relevance or interest.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID27""}","{""ImportId"":""QID25_15""}","{""ImportId"":""QID25_16""}","{""ImportId"":""QID25_17""}","{""ImportId"":""QID25_18""}","{""ImportId"":""QID25_19""}","{""ImportId"":""QID26_0_GROUP""}","{""ImportId"":""QID26_1_GROUP""}","{""ImportId"":""QID26_2_GROUP""}","{""ImportId"":""QID26_G0_1_RANK""}","{""ImportId"":""QID26_G0_2_RANK""}","{""ImportId"":""QID26_G0_3_RANK""}","{""ImportId"":""QID26_G0_4_RANK""}","{""ImportId"":""QID26_G0_5_RANK""}","{""ImportId"":""QID26_G0_6_RANK""}","{""ImportId"":""QID26_G0_7_RANK""}","{""ImportId"":""QID26_G0_8_RANK""}","{""ImportId"":""QID26_G0_9_RANK""}","{""ImportId"":""QID26_G0_10_RANK""}","{""ImportId"":""QID26_G0_11_RANK""}","{""ImportId"":""QID26_G0_12_RANK""}","{""ImportId"":""QID26_G0_13_RANK""}","{""ImportId"":""QID26_G0_14_RANK""}","{""ImportId"":""QID26_G1_1_RANK""}","{""ImportId"":""QID26_G1_2_RANK""}","{""ImportId"":""QID26_G1_3_RANK""}","{""ImportId"":""QID26_G1_4_RANK""}","{""ImportId"":""QID26_G1_5_RANK""}","{""ImportId"":""QID26_G1_6_RANK""}","{""ImportId"":""QID26_G1_7_RANK""}","{""ImportId"":""QID26_G1_8_RANK""}","{""ImportId"":""QID26_G1_9_RANK""}","{""ImportId"":""QID26_G1_10_RANK""}","{""ImportId"":""QID26_G1_11_RANK""}","{""ImportId"":""QID26_G1_12_RANK""}","{""ImportId"":""QID26_G1_13_RANK""}","{""ImportId"":""QID26_G1_14_RANK""}","{""ImportId"":""QID26_G2_1_RANK""}","{""ImportId"":""QID26_G2_2_RANK""}","{""ImportId"":""QID26_G2_3_RANK""}","{""ImportId"":""QID26_G2_4_RANK""}","{""ImportId"":""QID26_G2_5_RANK""}","{""ImportId"":""QID26_G2_6_RANK""}","{""ImportId"":""QID26_G2_7_RANK""}","{""ImportId"":""QID26_G2_8_RANK""}","{""ImportId"":""QID26_G2_9_RANK""}","{""ImportId"":""QID26_G2_10_RANK""}","{""ImportId"":""QID26_G2_11_RANK""}","{""ImportId"":""QID26_G2_12_RANK""}","{""ImportId"":""QID26_G2_13_RANK""}","{""ImportId"":""QID26_G2_14_RANK""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID32""}","{""ImportId"":""QID31""}","{""ImportId"":""QID38""}","{""ImportId"":""QID38_1_TEXT""}","{""ImportId"":""QID35""}","{""ImportId"":""QID16""}","{""ImportId"":""QID37""}","{""ImportId"":""QID37_6_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID4""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_24_TEXT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID28_TEXT""}"
7/4/2022 7:29,7/4/2022 7:32,100,177,TRUE,,28.9938,-82.4241,anonymous,EN,Yes,<3 times per year,"Yes, on the basis of race.,Yes, on the basis of national origin.,Yes, on the basis of religion.,Yes, on the basis of sex.","No, I do not know how to file a complaint.",Yes,I do not visibly represent any religious symbols.,54,50,71,50,51,"JetBlue,Allegiant Air","Delta Air Lines,Spirit Airlines,Frontier Airlines","Eastern Airlines,Hawaiian Airlines,Southwest Airlines,Sun Country Airlines,United Airlines,Breeze Airways,American Airlines,Avelo Airlines,Alaska Airlines",,2,,,,,,,,1,,,,,,,,,,1,,3,,,,2,,,9,,7,8,6,,1,,2,,3,,4,5,No,No,No,No,Yes,,Yes,18-24 years old,Female,,Yes,Asian,Islam,,I do not suffer from any chronic illness.,
7/4/2022 7:41,7/4/2022 7:44,100,174,TRUE,,38.6583,-77.2481,anonymous,EN,Yes,<3 times per year,No,"No, I have not filed a complaint.",No,Long beard,52,52,51,53,52,Delta Air Lines,"Spirit Airlines,American Airlines",,,,,,,1,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,No,No,No,No,No,,No,35-44 years old,Male,,Yes,Black of African American,Islam,,I do not suffer from any chronic illness.,
7/4/2022 7:50,7/4/2022 8:00,100,570,TRUE,,28.5521,-81.301,anonymous,EN,Yes,4-6 times per year,"Yes, on the basis of religion.","No, I have not filed a complaint.",No,I do not visibly represent any religious symbols.,,,,,,"Allegiant Air,JetBlue,Southwest Airlines","United Airlines,Delta Air Lines",,,1,,,,,,,,2,3,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,No,No,No,No,No,,Yes,65+ years old,Male,,Yes,Asian,Islam,,I do not suffer from any chronic illness.,
7/4/2022 8:15,7/4/2022 8:19,100,256,TRUE,,28.5464,-81.2585,anonymous,EN,Yes,<3 times per year,"Yes, on the basis of religion.","No, I have not filed a complaint.",No,Muslim Headscarf / Hijab,51,53,54,52,57,"American Airlines,JetBlue,Delta Air Lines","Spirit Airlines,Frontier Airlines","Breeze Airways,Hawaiian Airlines,Avelo Airlines,Eastern Airlines",,,1,,,3,,,,2,,,,,,,,,,,,2,,,,1,,,,,,3,1,,4,,2,,,,,,No,No,No,No,No,,Yes,25-34 years old,Female,,Yes,Asian,Islam,,I do not suffer from any chronic illness.,
7/4/2022 8:40,7/4/2022 8:45,100,334,TRUE,,51.0406,-114.0764,anonymous,EN,Yes,<3 times per year,"Yes, on the basis of race.,Yes, on the basis of national origin.,Yes, on the basis of religion.,Yes, on the basis of sex.","No, I have not filed a complaint.",No,Long beard,48,100,100,100,100,,"United Airlines,American Airlines,Delta Air Lines","Hawaiian Airlines,Allegiant Air,Alaska Airlines,Avelo Airlines,Breeze Airways,Eastern Airlines,Frontier Airlines,JetBlue,Southwest Airlines,Spirit Airlines,Sun Country Airlines",,,,,,,,,,,,,,,,,2,,,3,,,,,,,,1,3,2,,4,5,,6,7,1,8,9,10,11,,Yes,Yes,Yes,Yes,Yes,Look rich/ important  / be extra polite and submissive ,Yes,25-34 years old,Male,,No,Asian,Islam,,I do not suffer from any chronic illness.,
7/4/2022 8:47,7/4/2022 8:54,100,467,TRUE,,28.3774,-81.1888,anonymous,EN,Yes,<3 times per year,"Yes, on the basis of sex.","No, I do not know how to file a complaint.",No,I do not visibly represent any religious symbols.,50,50,50,50,50,"JetBlue,Southwest Airlines,Delta Air Lines,Allegiant Air","American Airlines,Spirit Airlines,United Airlines","Breeze Airways,Avelo Airlines,Frontier Airlines,Sun Country Airlines,Hawaiian Airlines",,4,,,,3,,,,1,2,,,,,,1,,,,,,,,,2,,3,,,,2,1,,,3,5,,,,4,,No,No,No,No,No,,No,65+ years old,Male,,Yes,White,"Atheism/Agnosticism,Prefer Not to Disclose",,I prefer not to answer this question.,
7/4/2022 8:51,7/4/2022 8:56,100,300,TRUE,,28.4986,-81.5353,anonymous,EN,Yes,<3 times per year,No,"No, I have not filed a complaint.",No,I do not visibly represent any religious symbols.,50,51,50,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,,Yes,35-44 years old,Female,,No,Asian,Islam,,I do not suffer from any chronic illness.,
7/4/2022 9:04,7/4/2022 9:07,100,220,TRUE,,53.3641,-6.2923,anonymous,EN,Yes,Monthly,"Yes, on the basis of sex.","No, I have not filed a complaint.",No,I do not visibly represent any religious symbols.,91,95,91,90,76,Delta Air Lines,Southwest Airlines,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,No,No,No,No,No,,Yes,65+ years old,Female,,Yes,White,Prefer Not to Disclose,,I do not suffer from any chronic illness.,
